Open,High,Low,Close,OUTPUT
1315.801,1316.562,1315.581,1316.462,0
1316.461,1316.772,1315.901,1316.381,1
1316.382,1316.462,1315.799,1316.462,0
1316.381,1316.562,1315.411,1315.661,1
1315.672,1316.161,1315.272,1315.492,1
1315.491,1316.301,1315.291,1316.192,0
1316.188,1316.708,1316.108,1316.501,0
1316.501,1317.001,1316.481,1316.582,0
1316.581,1317.112,1316.081,1316.402,1
1316.402,1316.499,1315.841,1316.498,0
1316.498,1316.572,1316.069,1316.501,0
1316.501,1316.918,1316.251,1316.261,1
1316.261,1316.872,1316.261,1316.612,0
1316.611,1317.048,1316.091,1316.251,1
1316.252,1316.399,1315.781,1315.948,1
1315.952,1316.172,1315.781,1315.961,0
1315.962,1316.271,1315.739,1315.962,0
1315.968,1316.249,1315.959,1316.198,0
1316.228,1316.479,1316.088,1316.479,0
1316.479,1317.079,1316.379,1316.629,0
1316.629,1316.939,1316.628,1316.848,0
1316.848,1317.339,1316.848,1317.029,0
1317.029,1317.328,1316.859,1317.009,1
1317.009,1317.338,1316.732,1316.768,1
1316.768,1316.969,1316.581,1316.721,1
1316.721,1317.012,1316.581,1316.588,1
1316.592,1316.841,1316.381,1316.541,1
1316.532,1316.721,1316.311,1316.521,1
1316.522,1316.662,1316.398,1316.531,0
1316.521,1317.029,1316.501,1316.952,0
1316.951,1317.039,1316.471,1316.492,1
1316.492,1316.572,1315.711,1315.952,1
1315.951,1316.472,1315.868,1316.069,0
1316.069,1316.101,1315.821,1315.951,1
1315.952,1316.261,1315.751,1315.791,1
1315.821,1316.432,1315.761,1316.341,0
1316.342,1316.352,1316.141,1316.152,1
1316.151,1316.421,1316.031,1316.131,1
1316.131,1316.302,1315.919,1316.142,0
1316.202,1316.602,1316.131,1316.541,0
1316.581,1317.192,1316.531,1317.032,0
1317.041,1317.212,1316.931,1317.212,0
1317.211,1317.212,1316.901,1316.982,1
1316.981,1317.071,1316.891,1316.951,1
1316.921,1316.922,1315.981,1316.001,1
1316.002,1316.172,1315.911,1316.001,1
1316.021,1316.361,1315.979,1316.132,0
1316.132,1316.225,1313.291,1313.311,1
1313.331,1313.372,1310.008,1310.522,1
1310.522,1310.522,1307.472,1308.052,1
1308.052,1309.362,1307.428,1308.782,0
1308.751,1309.642,1307.711,1309.292,0
1309.291,1309.492,1308.781,1309.492,0
1309.491,1310.902,1309.441,1310.281,0
1310.298,1311.821,1310.291,1311.381,0
1311.398,1311.442,1311.069,1311.212,1
1311.211,1312.049,1311.211,1312.042,0
1312.042,1313.148,1312.041,1312.471,0
1312.471,1312.979,1312.471,1312.961,0
1312.969,1314.489,1312.961,1314.478,0
1314.458,1314.822,1313.852,1314.482,0
1314.461,1314.778,1314.221,1314.671,0
1314.672,1314.988,1314.538,1314.958,0
1314.942,1315.092,1314.711,1314.778,1
1314.798,1316.201,1314.738,1315.582,0
1315.581,1316.029,1315.551,1316.008,0
1316.008,1316.029,1315.671,1315.968,1
1315.941,1316.649,1315.861,1315.882,1
1315.892,1315.892,1313.542,1313.671,1
1313.632,1315.072,1313.631,1314.122,0
1314.121,1315.022,1313.971,1314.968,0
1314.971,1315.731,1314.801,1315.451,0
1315.459,1315.469,1315.131,1315.241,1
1315.242,1315.271,1313.672,1314.271,1
1314.272,1314.272,1313.161,1313.562,1
1313.602,1313.632,1313.161,1313.261,1
1313.262,1313.262,1312.278,1312.502,1
1312.405,1312.882,1312.067,1312.841,0
1312.792,1313.291,1312.791,1313.112,0
1313.111,1313.182,1312.7,1312.86,1
1312.847,1312.85,1312.315,1312.547,1
1312.545,1312.925,1312.412,1312.752,0
1312.747,1313.137,1312.622,1312.851,0
1312.851,1312.851,1312.851,1312.851,0
1313.402,1313.402,1312.691,1312.851,1
1312.862,1313.582,1312.862,1313.402,0
1313.401,1313.422,1313.301,1313.412,0
1313.411,1313.462,1313.321,1313.451,0
1313.452,1313.472,1313.371,1313.402,1
1313.402,1313.402,1312.571,1312.641,1
1312.631,1312.751,1311.691,1311.699,1
1311.691,1311.698,1310.499,1310.791,1
1310.792,1310.902,1310.649,1310.701,1
1310.721,1311.542,1310.721,1311.129,0
1311.119,1311.532,1311.098,1311.291,0
1311.308,1311.322,1310.991,1311.112,1
1311.091,1311.122,1310.592,1310.701,1
1310.701,1310.812,1310.118,1310.271,1
1310.271,1310.362,1310.168,1310.231,1
1310.241,1310.342,1309.541,1309.572,1
1309.571,1309.582,1309.079,1309.391,1
1309.392,1309.392,1308.511,1308.819,1
1308.851,1308.992,1308.511,1308.982,0
1308.981,1309.109,1308.781,1308.781,1
1308.789,1308.979,1308.749,1308.979,0
1308.968,1309.079,1308.761,1308.869,1
1308.862,1308.869,1308.451,1308.491,1
1308.482,1309.302,1308.461,1309.212,0
1309.211,1309.822,1309.051,1309.061,1
1309.061,1309.061,1307.739,1308.471,1
1308.472,1308.568,1307.861,1308.201,1
1308.201,1308.452,1306.408,1306.448,1
1306.459,1307.401,1306.312,1306.619,0
1306.619,1306.692,1305.869,1306.081,1
1306.091,1307.009,1306.021,1306.908,0
1306.898,1306.962,1306.341,1306.341,1
1306.391,1306.411,1306.081,1306.211,1
1306.201,1307.062,1306.198,1307.062,0
1307.061,1307.222,1306.871,1307.022,1
1307.021,1307.301,1306.898,1307.111,0
1307.091,1307.432,1306.721,1306.872,1
1306.872,1306.972,1306.591,1306.848,1
1306.842,1307.071,1306.771,1307.062,0
1307.071,1307.501,1306.981,1307.472,0
1307.471,1307.792,1307.381,1307.668,0
1307.668,1307.868,1307.312,1307.552,1
1307.551,1307.672,1307.332,1307.671,0
1307.672,1307.971,1307.631,1307.952,0
1307.951,1307.991,1307.361,1307.412,1
1307.412,1307.562,1306.701,1306.722,1
1306.721,1307.022,1306.721,1306.921,0
1306.921,1307.162,1306.661,1306.981,0
1306.991,1306.991,1306.811,1306.922,1
1306.912,1307.022,1306.791,1306.912,0
1306.911,1306.912,1306.532,1306.581,1
1306.572,1306.602,1306.111,1306.191,1
1306.198,1306.448,1306.198,1306.429,0
1306.429,1306.821,1306.412,1306.811,0
1306.802,1306.841,1306.501,1306.711,1
1306.689,1307.071,1306.681,1306.972,0
1306.978,1307.122,1306.861,1307.122,0
1307.122,1307.202,1307.081,1307.152,0
1307.151,1307.312,1307.151,1307.282,0
1307.281,1307.292,1307.148,1307.202,1
1307.162,1307.452,1307.161,1307.372,0
1307.382,1307.572,1307.362,1307.462,0
1307.461,1307.501,1307.441,1307.461,0
1307.461,1307.482,1307.361,1307.382,1
1307.381,1307.752,1307.351,1307.751,0
1307.752,1308.222,1307.661,1308.211,0
1308.212,1308.421,1308.111,1308.281,0
1308.282,1308.292,1308.048,1308.081,1
1308.081,1308.182,1308.029,1308.082,0
1308.091,1308.102,1307.961,1308.052,1
1308.051,1308.242,1308.051,1308.151,0
1308.152,1308.152,1307.961,1307.982,1
1307.981,1307.982,1307.538,1307.682,1
1307.681,1307.882,1307.581,1307.781,0
1307.782,1308.192,1307.761,1308.192,0
1308.191,1308.482,1308.159,1308.381,0
1308.382,1308.402,1308.269,1308.372,1
1308.372,1308.402,1308.171,1308.281,1
