C1 BodySize,C1 WicksUp,C1 WicksDown,C1 CandleType,C2 BodySize,C2 WicksUp,C2 WicksDown,C2 CandleType,C3 BodySize,C3 WicksUp,C3 WicksDown,C3 CandleType,P0ICTION OUTPUT
0.111,0.326,0.099,1,0.13,0.211,0.042,1,0.508,0.183,0.14,0,1
0.13,0.211,0.042,1,0.508,0.183,0.14,0,0.019,0.151,0.3,1,0
0.508,0.183,0.14,0,0.019,0.151,0.3,1,0.221,0.13,0.053,0,0
0.019,0.151,0.3,1,0.221,0.13,0.053,0,0.2,0.188,0.062,0,1
0.221,0.13,0.053,0,0.2,0.188,0.062,0,0.802,0.53,0.388,1,0
0.2,0.188,0.062,0,0.802,0.53,0.388,1,0.321,0.277,0.41,0,0
0.802,0.53,0.388,1,0.321,0.277,0.41,0,0.45,0.077,0.8,0,1
0.321,0.277,0.41,0,0.45,0.077,0.8,0,0.03,0.248,0.273,1,0
0.45,0.077,0.8,0,0.03,0.248,0.273,1,0.836,0.011,0.081,0,1
0.03,0.248,0.273,1,0.836,0.011,0.081,0,0.18,0.147,0.24,1,0
0.836,0.011,0.081,0,0.18,0.147,0.24,1,0.291,0.196,1.509,0,1
0.18,0.147,0.24,1,0.291,0.196,1.509,0,0.39,0.19,0.09,1,1
0.291,0.196,1.509,0,0.39,0.19,0.09,1,0.389,0.171,0.271,1,0
0.39,0.19,0.09,1,0.389,0.171,0.271,1,0.651,0.07,0.68,0,1
0.389,0.171,0.271,1,0.651,0.07,0.68,0,0.709,0.081,0.104,1,0
0.651,0.07,0.68,0,0.709,0.081,0.104,1,0.97,0.38,0.08,0,1
0.709,0.081,0.104,1,0.97,0.38,0.08,0,0.029,0.571,0.243,1,1
0.97,0.38,0.08,0,0.029,0.571,0.243,1,0.409,0.23,0.023,1,0
0.029,0.571,0.243,1,0.409,0.23,0.023,1,0.417,0.143,0.224,0,1
0.409,0.23,0.023,1,0.417,0.143,0.224,0,0.332,0.048,0.05,1,0
0.417,0.143,0.224,0,0.332,0.048,0.05,1,0.38,0.107,0.111,0,0
0.332,0.048,0.05,1,0.38,0.107,0.111,0,0.041,0.349,0.29,0,1
0.38,0.107,0.111,0,0.041,0.349,0.29,0,0.5,0.041,0.05,1,1
0.041,0.349,0.29,0,0.5,0.041,0.05,1,0.507,0.073,0.271,1,0
0.5,0.041,0.05,1,0.507,0.073,0.271,1,0.192,0.38,0.278,0,0
0.507,0.073,0.271,1,0.192,0.38,0.278,0,0.111,0.089,0.49,0,0
0.192,0.38,0.278,0,0.111,0.089,0.49,0,0.028,0.29,0.27,0,0
0.111,0.089,0.49,0,0.028,0.29,0.27,0,0.278,0.039,0.183,0,0
0.028,0.29,0.27,0,0.278,0.039,0.183,0,0.42,0.059,0.143,0,1
0.278,0.039,0.183,0,0.42,0.059,0.143,0,0.121,0.12,0.07,1,1
0.42,0.059,0.143,0,0.121,0.12,0.07,1,0.031,0.34,0.1,1,0
0.121,0.12,0.07,1,0.031,0.34,0.1,1,0.307,0.334,0.35,0,0
